〆切	termination、conclusion、ending、deadline
海上自衛隊	Maritime Self‐Defense Force
海上保安庁	Maritime Safety Agency; Japan Coast Guard; Maritime Safety Board; Coast Guard
海人	fisherman
海水	sea water; salt water
海賊	pirate
海兵	sailor
海洋警察	maritime police
灰	ash
界	field; kingdom; regnum; world
皆	all
皆さん	everyone; everybody
皆無	nix、zero、zippo、cipher、zip、zilch、naught、nothing、null、nil
皆様	everyone; everybody
絵	picture; painting; drawing
開	open
開い	clear、unlock、undo、unwrap、open、open up、open、open up、give、afford
開き	opening、door、difference、divergence、disagreement、discrepancy、variance、gap、spread
開き直る	to become defiant; to turn upon; to become serious
開ける	develop、open、open、open up
開業	open; opening
開講	beginning lecture
開催	opening
開始	commencement; starting and initiation; beginning; start; onset; opening; introduction
開示	disclosure; discovery
開場	opening
開設	establishment; opening
開通	opening
開店	opening
開店休業	open、but transacting no business at all
開発	development; exploitation
開発援助	aiding development
開発者	developer
開封	opening
開幕	opening
開幕戦	opener
開幕投手	Pitcher in an opening game
階	story; floor; scala
階層	stratum; class; hierarchy
階段	stair; stairway; staircase; step
凱旋	triumphal return
外	exterior; outside
外し	take off、take out、except、leave off、exclude、omit、leave out、unfasten、cancel、delete
外れ	form collapse
外科	chirurgia; surgery
外角	external angle; exterior angle
外郭団体	extra‐governmental organization; auxiliary organ; affiliated organization
外観	appearance; outward show; external appearance
外見	appearance; faces
外交	foreign diplomacy; foreign policy; diplomacy
外交部	Ministry of Foreign Affairs (Taiwan)、Ministry of Foreign Affairs (South Korea)
外交旅券	diplomatic passport
外国	foreign country
外国語	foreign language
外国語大学	University of Foreign Languages
外国人	foreigner; alien
外国人観光客	foreign tourists
外資	foreign capital
外資系企業	foreign-owned enterprise; foreign-capital-affiliated firm; foreign-owned corporation; foreign affiliate; foreign affiliates; foreign-affiliate; foreign capital firm; non-Japanese company operating in Japan; Foreign affiliate; foreign capital affiliated company; foreign-affiliated company; foreign backed enterprise; foreign affiliated firm; enterprise with foreign capital; foreign affiliate company
外出	going out; outing
外食	eating out; dining out; food service; eating‐out
外信	foreign news
外装	masking; outer packaging; armor; exterior coating
外側	surrounding; outer surface; outside
外的	outside、away、external、outside、outside、outward、external、outside、extraneous、external
外部	outside
外務省	Ministry of Foreign Affairs
外務大臣	Minister for Foreign Affairs; Foreign Minister
外野	outsider; outfield
外野手	outfielder、outfielder
害	harm; damage; injury
害し	wound、injure、hurt、injure、hinder、handicap、hamper、hurt、wound、injure
崖	precipice; cliff
概念	conception; concept; begriff
概念的	conceptually
概要	summary; schema; overview; roundup; scheme; outline; review; profile
街	street; city
街灯	street lamp
街頭	street
街頭演説	outdoor speech; soapbox oratory; wayside speech
街道	highway; road; roadway
該当	correspondence
垣	fence; hedge
垣間見	glimpse、catch a glimpse、catch sight、get a look
垣根	fencing、fence、hedgerow、hedge、wall、barrier
柿	himantopus novae-zelandiae、kaki、persimmon、japanese persimmon、diospyros kaki、kaki
各々	each
各国	each country; every country
各紙	every newspaper (magazine)
各自	individual
各社	each company
各種	every kind; all sorts
各所	each place; various places
各人	everyone
各地	each place
拡散	D; diffusing capacity; divergence; diffusion; scattering; diffusion method
拡充	expansion
拡声器	loudspeaker
拡大	extension; magnification; amplification; augmentation; expansion; enlargement; dilatation; scale‐up
格	ranking
格言	proverb
格好	suitableness; appearance
格差	difference
格差社会	Social polarization
格子戸	lattice door
格上	higher rank; better position
格段	peculiarly、specially、especially、particularly、exceptionally、in particular、particularly、specially、especially
格闘	struggle
格納	housing; loading; storing
核	hilum; core; kernel; nucleus
核ミサイル	nuclear missile
核心	core
核弾頭	nuclear warhead
核燃料サイクル	nuclear fuel cycle
核爆弾	atomic weapon、nuclear weapon
核兵器	nuclear arms; nuclear weapon
殻	shell; test; valve; palet; testa; coat
獲得	obtaining; acquisition; acquirement; gain
確か	probably、likely、belike、in all likelihood、in all probability、sure as shooting、sure enough、for certain、sure、certainly
確かめ	verify、ascertain、see、ascertain、find out、check、watch、determine、learn、check
確執	discord
確実	sure as shooting、sure enough、for certain、sure、certainly、surely、for sure
確信	assurance; conviction
確定	confirmation; settlement; decision
確認	ascertainment; validation; authentication; identification; affirmation; confirmation; ID
確保	insurance; guarantee; security
確報	confirmed report
確率	P value; probability
確立	establishment; settlement
覚え	feel、con、memorize、memorise、learn、remember、think of、remember、find、feel
覚悟	resolution; readiness
覚書	memorandum; aide‐memoire; note
角	feeler; seta; cornu; antler; corner; angulus; horn; square; angle; setae
角度	angle
較べる	compare、contrast、vie、contend、compete
閣議決定	cabinet decision; cabinet council decision
隔靴掻痒	being frustrated because something is not quite as hoped (just as one cannot scratch an itch from outside a shoe); having an itch that one cannot scratch
隔週	every other week
隔離	segregation; isolation
革命	revolution
学	knowledge; study; learning; science
学び	study、work
学ぶ	acquire、larn、learn、study、take、read、learn、study
学科	school subject
学会	institute; conference
学会誌	academic journal
学級委員	class officer
学業	student performance
学研	study and research; scholarship and research
学校	school
学際	interdisciplinary
学者	scholar
学習	study; learning
学術	science
学生	student
学生時代	school days
学長	president
学費	educational expenses; school expenses
学部	department
学名	nomen; scientific name
学力低下	decline in academic ability; decline in academic performance
学歴	academic background; school career
楽	comfortable、easy、easy、relaxed
楽し	happy、entertaining、merry、festive、festal、gay、pleasant、gratifying、enjoyable、pleasurable
楽しみ	recreation、diversion、amusement、entertainment、playfulness、fun、merriment、pleasure、enjoyment、delectation
楽しむ	revel、enjoy、delight、relish、savor、bask、enjoy、savour、love、enjoy
楽しめる	to be able to enjoy
楽曲	musical piece
楽天	optimism、optimism
額	amount; tablet; forehead; volume; sum; plaque; front; framed picture; frons
掛かっ	attack、get、contract、take、commence、get down、start out、set out、get、start
掛ける	feed、feed in、sop、douse、dowse、soak、souse、drench、hang up、multiply
掛け合わさ	multiply
掛け算	multiplication
掛け持ち	having business in two or more places
割	assignment、assigning、parcel、share、portion
割り	assignment、assigning、division、quota
割り込み	interruption trap; interrupt
割り出し	understand、infer、deduce、deduct、infer、derive、calculate、compute、figure、cypher
割り振っ	cast、allot、assign、portion、apportion、allocate、share、deal、portion out、apportion
割り当てる	allot、assign、portion、apportion、allocate、share、deal、portion out、apportion、divvy up
割安	cut-price、cut-rate、bargain-priced
割引	discount、price reduction、deduction、discount rate、discount、bank discount
割合	proportion; fraction; rate; ratio
割増賃金	augmented wage
喝	exclamation used to scold practitioners (in Zen)
喝采	applause
活	vigor
活き	experience、see、go through、live
活性	activity
活性化	revitalization; vitalization; activation
活断層	active fault
活動	action; sthenia; activity
活発	actively
活躍	action; activity
活用	application; practical use; utilization
活力	vitality
葛藤	conflict
鰹節	dried‐bonito shavings; dried bonito
株	share; stump; stock; strain; stub; Co.、Ltd.; Inc.
株価	share price; stock prices; stock quotations
株式	shares; stocks
株式会社	Co.、Ltd.; Co.、Ltd.; Inc.
株主	stockholder; shareholder
株主総会	general meeting of stockholders; stockholders’ meeting; stockholders’ general meeting
鎌倉	Kamakura
噛みつか	snap at、bite off、bite、seize with teeth
噛み合わ	engage、operate、mesh、lock
噛ん	masticate、chew、manducate、jaw、snap at、bite off、bite、seize with teeth、nip、nibble
苅田	Kanda
乾燥	drying; dewatering; dehydration; dryness; exsiccation; desiccation
寒い	cold、cold
刊	publication; edition (e.g. morning、evening、special); published in (year); publication frequency (e.g. daily、monthly)
刊行	publication
勘	intuition
勘案	consideration
